"순위","영화명","개봉일","매출액","매출액점유율","매출액증감(전일대비)","매출액증감율(전일대비)","누적매출액","관객수","관객수증감(전일대비)","관객수증감율(전일대비)","누적관객수","스크린수","상영횟수","대표국적","국적","제작사","배급사","등급","장르","감독","배우"
"1","브이아이피","2017-08-23",2087854273,0.246,853504921,0.691,5925312225,244555,98203,0.671,732549,996,4451,"한국","한국","(주)영화사 금월,(주)페퍼민트앤컴퍼니","워너브러더스 코리아(주)","청소년관람불가","범죄,드라마","박훈정","장동건,김명민,박희순,이종석"
"2","택시운전사","2017-08-02",1809878500,0.214,917312200,1.028,88079124849,218694,108293,0.981,11170546,861,3375,"한국","한국","더램프(주)","(주)쇼박스","15세이상관람가","드라마","장훈","송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화"
"3","청년경찰","2017-08-09",1795648601,0.212,924558027,1.061,36617951816,218292,110797,1.031,4645368,779,3362,"한국","한국","(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가","액션","김주환","박서준,강하늘,성동일,박하선"
"4","장산범","2017-08-17",819970551,0.097,383911377,0.88,8225206059,102548,49126,0.92,1035308,592,1721,"한국","한국","(주)드림캡쳐","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가","미스터리,스릴러","허정","염정아,박혁권,허진,신린아,방유설,이준혁"
"5","혹성탈출: 종의 전쟁","2017-08-15",718210949,0.085,380039623,1.124,15412895678,85867,45649,1.135,1870379,525,1480,"미국","미국","","이십세기폭스코리아(주)","12세이상관람가","액션,어드벤처,드라마,SF","맷 리브스","앤디 서키스,우디 해럴슨,스티브 잔,주디 그리어,타이 올슨,채드 룩,티모시 웨버,마이클 아담스웨이트,라우로 차트랜드,스티브 바란칙"
"6","애나벨 : 인형의 주인","2017-08-10",225615800,0.027,98040700,0.768,15059179564,27010,12167,0.82,1876871,265,546,"미국","미국","","워너브러더스 코리아(주)","15세이상관람가","공포(호러)","데이비드 F. 샌드버그","스테파니 시그만,알리시아 벨라 베일리,미란다 오토,탈리타 베이트먼"
"7","다크타워: 희망의 탑","2017-08-23",154927327,0.018,15628779,0.112,500371575,18814,1851,0.109,63643,448,947,"미국","미국","","소니픽쳐스엔터테인먼트코리아주식회사극장배급지점","15세이상관람가","액션,어드벤처,판타지","니콜라이 아르셀","이드리스 엘바,매튜 매커너히"
"8","공범자들","2017-08-17",148409500,0.018,65227300,0.784,1062201700,17546,7591,0.763,132871,243,444,"한국","한국","한국탐사저널리즘센터","(주)엣나인필름","15세이상관람가","다큐멘터리","최승호","이명박,김재철,김장겸,고대영"
"9","슈퍼배드 3","2017-07-26",100601900,0.012,81444100,4.251,23990430319,13178,10587,4.086,3294005,222,295,"미국","미국","","유니버설픽쳐스인터내셔널 코리아(유)","전체관람가","애니메이션","피에르 꼬팽,카일 발다","스티브 카렐,크리스틴 위그,트레이 파커"
"10","빅풋 주니어","2017-08-09",72194600,0.009,56549400,3.614,2041009300,9690,7310,3.071,290030,193,249,"벨기에","벨기에,프랑스","","(주)이수C&E","전체관람가","애니메이션,어드벤처,가족","제레미 드그루손,벤 스타센","우정신,임채헌"
"11","극장판 위 베어 베어스: 곰 브라더스","2017-08-24",70783100,0.008,49953600,2.398,117360900,9495,6514,2.185,16115,305,444,"미국","미국","","(주)팝엔터테인먼트","전체관람가","애니메이션","매니 에르난데스",""
"12","더 테이블","2017-08-24",77834100,0.009,20022900,0.346,211444200,9111,2280,0.334,25880,251,431,"한국","한국","","(주)엣나인필름","12세이상관람가","드라마,멜로/로맨스","김종관","정유미,한예리,정은채,임수정"
"13","킬러의 보디가드","",73120800,0.009,71920800,59.934,77943800,8471,8351,69.592,8833,40,68,"미국","미국","","TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹","15세이상관람가","액션,코미디","패트릭 휴즈","라이언 레놀즈,사무엘 L. 잭슨,셀마 헤이엑,게리 올드만"
"14","덩케르크","2017-07-20",50852600,0.006,18098100,0.553,24241613848,3848,1517,0.651,2764311,23,36,"미국","미국,영국","","워너브러더스 코리아(주)","12세이상관람가","액션,드라마,스릴러,전쟁","크리스토퍼 놀란","톰 하디,마크 라이런스,케네스 브래너,킬리언 머피,제임스 다시,케빈 구스리"
"15","제인 도","2017-08-23",30403973,0.004,8043521,0.36,89647791,3670,939,0.344,11364,108,183,"영국","영국,미국","","오퍼스픽쳐스","청소년관람불가","공포(호러)","안드레 외브레달","에밀 허쉬,브라이언 콕스,올웬 캐서린 켈리"
"16","드래곤 스펠: 마법 꽃의 비밀","2017-08-15",24778400,0.003,15875900,1.783,528108600,3355,1995,1.467,72027,73,92,"독일","독일,우크라이나","","㈜코리아스크린","전체관람가","애니메이션,판타지","마누크 데포얀",""
"17","킹 오브 프리즘 - 프라이드 더 히어로","2017-06-10",23456000,0.003,22581000,25.807,696854237,2852,2748,26.423,84226,15,23,"일본","일본","","(주)박수엔터테인먼트","15세이상관람가","애니메이션","히시다 마사카즈",""
"18","파리로 가는 길","2017-08-03",21837700,0.003,6460200,0.42,754198100,2600,652,0.335,95697,40,54,"미국","미국","","(주)티캐스트","12세이상관람가","드라마,멜로/로맨스","엘레노어 코폴라","다이안 레인,알렉 볼드윈,아르노 비야르"
"19","낮잠 공주 : 모르는 나의 이야기","2017-08-24",15101500,0.002,9466200,1.68,32372700,2060,1314,1.761,4435,150,174,"일본","일본","","와이드 릴리즈(주)","전체관람가","애니메이션,판타지,드라마","카미야마 켄지","타카하타 미츠키,미츠시마 신노스케,에구치 요스케,후루타 아라타,쿠기미야 리에,타카하시 히데키"
"20","내 사랑","2017-07-12",13223900,0.002,4356700,0.491,2243900225,1837,531,0.407,305625,32,44,"아일랜드","아일랜드,캐나다","","오드","12세이상관람가","드라마,멜로/로맨스","에이슬링 월쉬","샐리 호킨스,에단 호크"
"21","발레리안: 천 개 행성의 도시","2017-08-30",18657500,0.002,13449500,2.582,61383500,1627,1197,2.784,6351,41,65,"프랑스","프랑스","","판씨네마(주)","12세이상관람가","액션,어드벤처,SF","뤽 베송","데인 드한,카라 델러비인,리한나,클라이브 오웬"
"22","군함도","2017-07-26",10385200,0.001,-1491700,-0.126,50385703068,1499,-423,-0.22,6571393,30,39,"한국","한국","(주)외유내강","씨제이이앤엠(주)","15세이상관람가","액션,드라마","류승완","황정민,소지섭,송중기,이정현,김수안,지웅배,손용범"
"23","극장판 도라에몽: 진구의 남극 꽁꽁 대모험","2017-08-10",10334800,0.001,8228300,3.906,1157453400,1481,1133,3.256,163502,32,41,"일본","일본","","(주)넥스트엔터테인먼트월드(NEW)","전체관람가","애니메이션,SF,가족,어드벤처","다카하시 아츠시","미즈타 와사비,오오하라 메구미,카카즈 유미"
"24","올 아이즈 온 미","2017-08-24",11232400,0.001,2118100,0.232,38540700,1326,254,0.237,4676,131,162,"미국","미국","","(주)영화사 그램","15세이상관람가","드라마","베니 붐","다네이 거라이라"
"25","빅터 영 페레즈","2017-07-13",5480000,0.001,2800000,1.045,34521000,1096,560,1.045,6833,2,3,"프랑스","프랑스,이스라엘,불가리아","","(주)에이원엔터테인먼트","15세이상관람가","드라마","자크 와니쉐","브라힘 애슬라움,스티브 스위사"
"26","매혹당한 사람들","2017-09-07",7781000,0.001,6972000,8.618,9533500,904,815,9.157,1099,12,12,"미국","미국","","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가","스릴러,드라마","소피아 코폴라","니콜 키드먼,커스틴 던스트,엘르 패닝,콜린 파렐"
"27","예감은 틀리지 않는다","2017-08-10",7299000,0.001,60400,0.008,272699000,868,-68,-0.073,34641,18,24,"영국","영국","","CGV아트하우스","15세이상관람가","드라마","리테쉬 바트라","짐 브로드벤트,샬롯 램플링,에밀리 모티머"
