"전철역코드","전철역명","호선","외부코드","전철역_ko","lon","lat","address"
330,"교대","3","340","교대역&language=ko",129.080029,35.19555,"부산광역시 거제1동 교대역"
331,"남부터미널","3","341","남부터미널역&language=ko",127.016274,37.48491,"서울특별시 서초3동 남부터미널역"
332,"양재","3","342","양재역&language=ko",127.034796,37.483665,"서울특별시 양재동 양재역"
333,"매봉","3","343","매봉역&language=ko",127.046918,37.487035,"서울특별시 도곡동 매봉역"
334,"도곡","3","344","도곡역&language=ko",127.055996,37.491206,"서울특별시 대치동 도곡역"
335,"대치","3","345","대치역&language=ko",127.063446,37.494569,"서울특별시 대치동 대치역"
336,"학여울","3","346","학여울역&language=ko",127.070549,37.496683,"서울특별시 대치동 학여울역"
337,"대청","3","347","대청역&language=ko",127.079526,37.493601,"서울특별시 개포동 대청역"
338,"일원","3","348","일원역&language=ko",127.084032,37.483869,"서울특별시 일원본동 일원역"
339,"수서","3","349","수서역&language=ko",127.101118,37.487633,"서울특별시 수서동 수서역"
340,"가락시장","3","350","가락시장역&language=ko",127.118742,37.492467,"서울특별시 가락본동 가락시장역"
341,"경찰병원","3","351","경찰병원역&language=ko",127.12419,37.495694,"서울특별시 가락동 경찰병원역"
342,"오금","3","352","오금역&language=ko",127.128608,37.502478,"서울특별시 오금동 오금역"
409,"당고개","4","409","당고개역&language=ko",127.079011,37.67026,"서울특별시 상계동 당고개역"
410,"상계","4","410","상계역&language=ko",127.073202,37.660566,"서울특별시 중계동 상계역"
411,"노원","4","411","노원역&language=ko",127.060551,37.654527,"서울특별시 상계동 노원역"
413,"쌍문","4","413","쌍문역&language=ko",127.0343875,37.6482236,"서울특별시 창동 쌍문역"
414,"수유","4","414","수유역&language=ko",127.0229077,37.6343884,"대한민국 서울특별시 강북구 수유동 48-1 수유역제네스타워"
415,"미아","4","415","미아역&language=ko",127.026132,37.626394,"서울특별시 미아동 미아역"
416,"미아사거리","4","416","미아사거리역&language=ko",127.030084,37.613251,"서울특별시 미아동 미아사거리역"
417,"길음","4","417","길음역&language=ko",127.024914,37.603185,"서울특별시 길음동 길음역"
419,"한성대입구","4","419","한성대입구역&language=ko",127.005907,37.588374,"서울특별시 성북동 한성대입구역"
420,"혜화","4","420","혜화역&language=ko",127.001892,37.58208,"서울특별시 이화동 혜화역"
421,"동대문","4","421","동대문역&language=ko",127.009241,37.57089,"서울특별시 종로5.6가동 동대문역"
422,"동대문역사문화공원","4","422","동대문역사문화공원역&language=ko",127.0091532,37.5656369,"대한민국 서울특별시 중구 을지로7가 1 동대문역사문화공원역"
423,"충무로","4","423","충무로역&language=ko",126.993672,37.561603,"서울특별시 필동 충무로역"
424,"명동","4","424","명동역&language=ko",126.986464,37.560965,"서울특별시 명동 명동역"
425,"회현","4","425","회현역&language=ko",126.978203,37.558541,"서울특별시 회현동 회현역"
426,"서울","4","426","서울역&language=ko",126.970663,37.554531,"서울특별시 회현동 서울역"
428,"삼각지","4","428","삼각지역&language=ko",126.973948,37.535592,"서울특별시 한강로동 삼각지역"
429,"신용산","4","429","신용산역&language=ko",126.967886,37.529187,"서울특별시 한강로동 신용산역"
430,"이촌","4","430","이촌역&language=ko",126.974394,37.522354,"서울특별시 한강로동 이촌역"
431,"동작","4","431","동작역&language=ko",126.980368,37.502816,"서울특별시 사당2동 동작역"
432,"총신대입구(이수)","4","432","총신대입구(이수)역&language=ko",126.982164,37.486651,"서울특별시 사당2동 총신대입구(이수)역"
434,"남태령","4","434","남태령역&language=ko",126.989097,37.464237,"서울특별시 방배2동 남태령역"
1002,"남영","1","134","남영역&language=ko",126.971171,37.540597,"서울특별시 갈월동 남영역"
1003,"용산","1","135","용산역&language=ko",126.96347,37.529626,"서울특별시 한강로동 용산역"
1004,"노량진","1","136","노량진역&language=ko",126.94167,37.514072,"서울특별시 노량진동 노량진역"
1006,"영등포","1","139","영등포역&language=ko",126.9071288,37.5154133,"대한민국 서울특별시 영등포구 영등포동1가 영등포역"
1007,"신도림","1","140","신도림역&language=ko",126.891336,37.508562,"서울특별시 구로동 신도림역"
1008,"이촌","K","K111","이촌역&language=ko",126.974394,37.522354,"서울특별시 한강로동 이촌역"
1009,"서빙고","K","K112","서빙고역&language=ko",126.988358,37.51961,"서울특별시 서빙고동 서빙고역"
1010,"한남","K","K113","한남역&language=ko",127.008984,37.529361,"서울특별시 한남동 한남역"
1012,"응봉","K","K115","응봉역&language=ko",127.03447,37.54995,"서울특별시 응봉동 응봉역"
1013,"왕십리","K","K116","왕십리역&language=ko",127.03726,37.561982,"서울특별시 행당동 왕십리역"
1016,"외대앞","1","122","외대앞역&language=ko",127.063572,37.596157,"서울특별시 이문동 외대앞역"
1017,"신이문","1","121","신이문역&language=ko",127.067347,37.601829,"서울특별시 이문동 신이문역"
1018,"석계","1","120","석계역&language=ko",127.065594,37.615206,"서울특별시 월계동 석계역"
1020,"월계","1","118","월계역&language=ko",127.058835,37.633114,"서울특별시 월계동 월계역"
1021,"녹천","1","117","녹천역&language=ko",127.051406,37.644599,"서울특별시 창동 녹천역"
1023,"선릉","B","K215","선릉역&language=ko",127.048941,37.504479,"서울특별시 역삼동 선릉역"
150,"서울","1","133","서울역&language=ko",126.970663,37.554531,"서울특별시 회현동 서울역"
151,"시청","1","132","시청역&language=ko",126.9768616,37.5657037,"대한민국 서울특별시 중구 소공동 지하 101 시청역"
152,"종각","1","131","종각역&language=ko",126.983099,37.570169,"서울특별시 종로1.2.3.4가동 종각역"
153,"종로3가","1","130","종로3가역&language=ko",126.991829,37.571633,"서울특별시 종로1.2.3.4가동 종로3가역"
154,"종로5가","1","129","종로5가역&language=ko",127.001921,37.570988,"서울특별시 종로5.6가동 종로5가역"
155,"동대문","1","128","동대문역&language=ko",127.009241,37.57089,"서울특별시 종로5.6가동 동대문역"
156,"신설동","1","126","신설동역&language=ko",127.024484,37.576016,"서울특별시 용신동 신설동역"
157,"제기동","1","125","제기동역&language=ko",127.034895,37.578162,"서울특별시 제기동 제기동역"
159,"동묘앞","1","127","동묘앞역&language=ko",127.015677,37.572258,"서울특별시 창신동 동묘앞역"
201,"시청","2","201","시청역&language=ko",126.9768616,37.5657037,"대한민국 서울특별시 중구 소공동 지하 101 시청역"
202,"을지로입구","2","202","을지로입구역&language=ko",126.982662,37.566056,"서울특별시 명동 을지로입구역"
203,"을지로3가","2","203","을지로3가역&language=ko",126.992617,37.566286,"서울특별시 을지로3가 을지로3가역"
204,"을지로4가","2","204","을지로4가역&language=ko",126.997613,37.566611,"서울특별시 을지로동 을지로4가역"
205,"동대문역사문화공원","2","205","동대문역사문화공원역&language=ko",127.0091532,37.5656369,"대한민국 서울특별시 중구 을지로7가 1 동대문역사문화공원역"
207,"상왕십리","2","207","상왕십리역&language=ko",127.028872,37.5645,"서울특별시 하왕십리동 상왕십리역"
208,"왕십리","2","208","왕십리역&language=ko",127.03726,37.561982,"서울특별시 행당동 왕십리역"
209,"한양대","2","209","한양대역&language=ko",127.043655,37.555619,"서울특별시 행당동 한양대역"
210,"뚝섬","2","210","뚝섬역&language=ko",127.04731,37.54724,"서울특별시 성수동1가 뚝섬역"
212,"건대입구","2","212","건대입구역&language=ko",127.069236,37.540389,"서울특별시 화양동 건대입구역"
213,"구의","2","213","구의역&language=ko",127.086135,37.537145,"서울특별시 자양동 구의역"
214,"강변","2","214","강변역&language=ko",127.094672,37.535144,"서울특별시 구의동 강변역"
215,"잠실나루","2","215","잠실나루역&language=ko",127.103822,37.520661,"서울특별시 신천동 잠실나루역"
217,"신천","2","217","신천역&language=ko",127.085585,37.511624,"서울특별시 잠실동 신천역"
218,"종합운동장","2","218","종합운동장역&language=ko",127.073774,37.511051,"서울특별시 잠실동 종합운동장역"
219,"삼성","2","219","삼성역&language=ko",127.063149,37.508861,"서울특별시 대치동 삼성역"
220,"선릉","2","220","선릉역&language=ko",127.048941,37.504479,"서울특별시 역삼동 선릉역"
222,"강남","2","222","강남역&language=ko",127.027621,37.497942,"서울특별시 역삼1동 강남역"
223,"교대","2","223","교대역&language=ko",129.080029,35.19555,"부산광역시 거제1동 교대역"
224,"서초","2","224","서초역&language=ko",127.007688,37.49184,"서울특별시 서초동 서초역"
225,"방배","2","225","방배역&language=ko",126.997638,37.481512,"서울특별시 방배동 방배역"
226,"사당","2","226","사당역&language=ko",126.981633,37.476559,"대한민국 서울특별시 동작구 사당동 1026-32 사당역"
228,"서울대입구","2","228","서울대입구역&language=ko",126.952712,37.48121,"서울특별시 봉천동 서울대입구역"
229,"봉천","2","229","봉천역&language=ko",126.941574,37.482476,"서울특별시 봉천동 봉천역"
230,"신림","2","230","신림역&language=ko",126.929676,37.484269,"서울특별시 신림동 신림역"
231,"신대방","2","231","신대방역&language=ko",126.913282,37.487519,"서울특별시 신림동 신대방역"
232,"구로디지털단지","2","232","구로디지털단지역&language=ko",126.901472,37.48525,"서울특별시 대림동 구로디지털단지역"
234,"신도림","2","234","신도림역&language=ko",126.891336,37.508562,"서울특별시 구로동 신도림역"
235,"문래","2","235","문래역&language=ko",126.894808,37.517989,"서울특별시 문래동 문래역"
236,"영등포구청","2","236","영등포구청역&language=ko",126.895432,37.524193,"서울특별시 당산동3가 영등포구청역"
237,"당산","2","237","당산역&language=ko",126.90196,37.533875,"서울특별시 당산동6가 당산역"
239,"홍대입구","2","239","홍대입구역&language=ko",126.923774,37.556838,"서울특별시 서교동 홍대입구역"
240,"신촌","2","240","신촌역&language=ko",126.937358,37.555242,"서울특별시 창천동 신촌역"
241,"이대","2","241","이대역&language=ko",126.945857,37.556761,"서울특별시 대흥동 이대역"
242,"아현","2","242","아현역&language=ko",126.956083,37.557382,"서울특별시 북아현동 아현역"
243,"충정로","2","243","충정로역&language=ko",126.962953,37.56037,"서울특별시 충정로3가 충정로역"
244,"용답","2","211-1","용답역&language=ko",127.050835,37.56217,"서울특별시 사근동 용답역"
245,"신답","2","211-2","신답역&language=ko",127.020573,37.516551,"서울특별시 논현1동 신사역"
246,"신설동","2","211-4","신설동역&language=ko",127.024484,37.576016,"서울특별시 용신동 신설동역"
247,"도림천","2","234-1","도림천역&language=ko",126.882624,37.51446,"서울특별시 신도림동 도림천역"
248,"양천구청","2","234-2","양천구청역&language=ko",126.865633,37.512322,"서울특별시 신정동 양천구청역"
249,"신정네거리","2","234-3","신정네거리역&language=ko",126.852796,37.520209,"서울특별시 신정동 신정네거리역"
250,"용두","2","211-3","용두역&language=ko",127.038653,37.573927,"서울특별시 용두동 용두역"
260,"까치산","2","234-4","까치산역&language=ko",126.846507,37.532114,"서울특별시 화곡동 까치산역"
309,"지축","3","319","지축역&language=ko",126.913746,37.648114,"고양시 효자동 지축역"
310,"구파발","3","320","구파발역&language=ko",126.918833,37.636581,"서울특별시 진관동 구파발역"
311,"연신내","3","321","연신내역&language=ko",126.921184,37.619046,"서울특별시 불광2동 연신내역"
312,"불광","3","322","불광역&language=ko",126.930222,37.610069,"서울특별시 불광동 불광역"
313,"녹번","3","323","녹번역&language=ko",126.935761,37.600869,"서울특별시 녹번동 녹번역"
314,"홍제","3","324","홍제역&language=ko",126.944094,37.588792,"서울특별시 홍제3동 홍제역"
315,"무악재","3","325","무악재역&language=ko",NA,NA,NA
316,"독립문","3","326","독립문역&language=ko",126.957918,37.574453,"서울특별시 무악동 독립문역"
318,"안국","3","328","안국역&language=ko",126.985472,37.576556,"서울특별시 가회동 안국역"
319,"종로3가","3","329","종로3가역&language=ko",126.991829,37.571633,"서울특별시 종로1.2.3.4가동 종로3가역"
320,"을지로3가","3","330","을지로3가역&language=ko",126.992617,37.566286,"서울특별시 을지로3가 을지로3가역"
321,"충무로","3","331","충무로역&language=ko",126.993672,37.561603,"서울특별시 필동 충무로역"
322,"동대입구","3","332","동대입구역&language=ko",127.005032,37.559051,"서울특별시 장충동 동대입구역"
324,"금호","3","334","금호역&language=ko",127.015789,37.54826,"서울특별시 금호4가동 금호역"
325,"옥수","3","335","옥수역&language=ko",127.018698,37.540514,"서울특별시 옥수동 옥수역"
326,"압구정","3","336","압구정역&language=ko",127.028487,37.526144,"서울특별시 신사동 압구정역"
327,"신사","3","337","신사역&language=ko",127.020573,37.516551,"서울특별시 논현1동 신사역"
329,"고속터미널","3","339","고속터미널역&language=ko",127.004996,37.50483,"서울특별시 반포4동 고속터미널역"
1275,"일산","K","K326","일산역&language=ko",126.77004,37.681997,"고양시 일산동 일산역"
1276,"탄현","K","K327","탄현역&language=ko",126.761161,37.693882,"고양시 탄현동 탄현역"
1279,"금릉","K","K330","금릉역&language=ko",126.765664,37.751265,"파주시 금촌동 금릉역"
1280,"금촌","K","K331","금촌역&language=ko",126.774515,37.766106,"파주시 금촌1동 금촌역"
1283,"파주","K","K334","파주역&language=ko",126.792426,37.81539,"파주시 파주읍 파주역"
1284,"문산","K","K335","문산역&language=ko",126.787456,37.854425,"파주시 문산읍 문산역"
1291,"서울","A","A01","서울역&language=ko",126.970663,37.554531,"서울특별시 회현동 서울역"
1292,"공덕","A","A02","공덕역&language=ko",126.951957,37.543502,"서울특별시 아현동 공덕역"
1293,"홍대입구","A","A03","홍대입구역&language=ko",126.923774,37.556838,"서울특별시 서교동 홍대입구역"
1308,"광운대","G","P119","광운대역&language=ko",127.061975,37.623635,"서울특별시 월계동 광운대역"
1309,"상봉","G","P120","상봉역&language=ko",127.085721,37.595619,"서울특별시 상봉동 상봉역"
1310,"망우","G","P121","망우역&language=ko",127.092318,37.599288,"서울특별시 상봉동 망우역"
1312,"갈매","G","P123","갈매역&language=ko",127.114803,37.634135,"구리시 갈매동 갈매역"
1313,"별내","G","P124","별내역&language=ko",127.127208,37.64222,"남양주시 별내동 별내역"
1315,"사릉","G","P126","사릉역&language=ko",127.176839,37.651145,"남양주시 진건읍 사릉역"
1316,"금곡","G","P127","금곡역&language=ko",127.207931,37.637414,"남양주시 금곡동 금곡역"
1318,"천마산","G","P129","천마산역&language=ko",127.285374,37.659006,"남양주시 화도읍 천마산역"
1319,"마석","G","P130","마석역&language=ko",127.31168,37.652797,"남양주시 화도읍 마석역"
1321,"청평","G","P132","청평역&language=ko",127.426541,37.735484,"가평군 청평면 청평역"
1322,"상천","G","P133","상천역&language=ko",127.454412,37.770036,"가평군 청평면 상천역"
1324,"굴봉산","G","P135","굴봉산역&language=ko",127.557732,37.832086,"춘천시 남산면 굴봉산역"
1325,"백양리","G","P136","백양리역&language=ko",127.589085,37.830881,"춘천시 남산면 백양리역"
1327,"김유정","G","P138","김유정역&language=ko",127.714302,37.818475,"춘천시 신동면 김유정역"
1328,"남춘천","G","P139","남춘천역&language=ko",127.723761,37.864071,"춘천시 퇴계동 남춘천역"
1402,"쌍용(나사렛대)","1","P171","쌍용(나사렛대)역&language=ko",127.121363,36.793745,"천안시 쌍용2동 쌍용(나사렛대)역"
1403,"아산","1","P172","아산역&language=ko",127.105049,36.792195,"아산시 배방읍 아산역"
1404,"탕정","1","P173","탕정역&language=ko",NA,NA,NA
1406,"풍기","1","P175","풍기역&language=ko",128.524413,36.873856,"영주시 풍기읍 풍기역"
1407,"온양온천","1","P176","온양온천역&language=ko",127.004375,36.780584,"아산시 온양2동 온양온천역"
1408,"신창","1","P177","신창역&language=ko",126.950129,36.769213,"아산시 신창면 신창역"
1951,"원당","3","317","원당역&language=ko",126.843006,37.653328,"고양시 성사동 원당역"
1952,"화정","3","316","화정역&language=ko",126.832645,37.63459,"고양시 화정동 화정역"
1954,"백석","3","314","백석역&language=ko",126.788109,37.642973,"고양시 백석동 백석역"
1955,"마두","3","313","마두역&language=ko",126.777641,37.652185,"고양시 마두동 마두역"
1957,"주엽","3","311","주엽역&language=ko",126.761232,37.670138,"고양시 주엽동 주엽역"
1958,"대화","3","310","대화역&language=ko",126.7477558,37.6758831,"고양시 대화동 대화역"
2511,"방화","5","510","방화역&language=ko",126.812826,37.577622,"서울특별시 방화동 방화역"
2512,"개화산","5","511","개화산역&language=ko",126.806839,37.572455,"서울특별시 방화2동 개화산역"
2513,"김포공항","5","512","김포공항역&language=ko",126.802017,37.561786,"서울특별시 방화동 김포공항역"
2515,"마곡","5","514","마곡역&language=ko",126.824664,37.56025,"서울특별시 가양1동 마곡역"
2516,"발산","5","515","발산역&language=ko",126.837595,37.558683,"서울특별시 가양동 발산역"
2517,"우장산","5","516","우장산역&language=ko",126.836334,37.548783,"서울특별시 내발산동 우장산역"
2518,"화곡","5","517","화곡역&language=ko",126.840436,37.541578,"서울특별시 화곡동 화곡역"
2520,"신정","5","519","신정역&language=ko",126.856164,37.524977,"서울특별시 신정동 신정역"
2521,"목동","5","520","목동역&language=ko",126.864301,37.526072,"서울특별시 신정동 목동역"
2522,"오목교","5","521","오목교역&language=ko",126.87505,37.524553,"서울특별시 목1동 오목교역"
2524,"영등포구청","5","523","영등포구청역&language=ko",126.895432,37.524193,"서울특별시 당산동3가 영등포구청역"
2525,"영등포시장","5","524","영등포시장역&language=ko",126.90491,37.5225878,"서울특별시 영등포동 영등포시장역"
2526,"신길","5","525","신길역&language=ko",126.917743,37.517018,"서울특별시 신길1동 신길역"
2528,"여의나루","5","527","여의나루역&language=ko",126.93281,37.527141,"서울특별시 여의도동 여의나루역"
2529,"마포","5","528","마포역&language=ko",126.94604,37.539705,"서울특별시 도화동 마포역"
2530,"공덕","5","529","공덕역&language=ko",126.951957,37.543502,"서울특별시 아현동 공덕역"
2531,"애오개","5","530","애오개역&language=ko",126.956739,37.55359,"서울특별시 공덕동 애오개역"
2533,"서대문","5","532","서대문역&language=ko",126.96665,37.56577,"서울특별시 충현동 서대문역"
2534,"광화문","5","533","광화문역&language=ko",126.976436,37.571619,"서울특별시 종로1.2.3.4가동 광화문역"
2535,"종로3가","5","534","종로3가역&language=ko",126.991829,37.571633,"서울특별시 종로1.2.3.4가동 종로3가역"
2536,"을지로4가","5","535","을지로4가역&language=ko",126.997613,37.566611,"서울특별시 을지로동 을지로4가역"
2620,"월드컵경기장","6","619","월드컵경기장역&language=ko",126.899058,37.569656,"서울특별시 성산동 월드컵경기장역"
2621,"마포구청","6","620","마포구청역&language=ko",126.903472,37.563418,"서울특별시 성산동 마포구청역"
2622,"망원","6","621","망원역&language=ko",126.91009,37.556059,"서울특별시 서교동 망원역"
2623,"합정","6","622","합정역&language=ko",126.91354,37.54895,"서울특별시 합정동 합정역"
2624,"상수","6","623","상수역&language=ko",126.92296,37.547736,"서울특별시 서강동 상수역"
2626,"대흥","6","625","대흥역&language=ko",126.942332,37.547674,"서울특별시 대흥동 대흥역"
2627,"공덕","6","626","공덕역&language=ko",126.951957,37.543502,"서울특별시 아현동 공덕역"
2628,"효창공원앞","6","627","효창공원앞역&language=ko",126.961339,37.539289,"서울특별시 효창동 효창공원앞역"
2629,"삼각지","6","628","삼각지역&language=ko",126.973948,37.535592,"서울특별시 한강로동 삼각지역"
2631,"이태원","6","630","이태원역&language=ko",126.994579,37.534533,"서울특별시 이태원동 이태원역"
2632,"한강진","6","631","한강진역&language=ko",127.001736,37.539518,"서울특별시 한남동 한강진역"
2633,"버티고개","6","632","버티고개역&language=ko",127.007136,37.54813,"서울특별시 신당동 버티고개역"
2634,"약수","6","633","약수역&language=ko",127.010636,37.55476,"서울특별시 신당동 약수역"
2636,"신당","6","635","신당역&language=ko",127.019468,37.565671,"서울특별시 황학동 신당역"
2637,"동묘앞","6","636","동묘앞역&language=ko",127.015677,37.572258,"서울특별시 창신동 동묘앞역"
2638,"창신","6","637","창신역&language=ko",127.015281,37.579361,"서울특별시 창신동 창신역"
2639,"보문","6","638","보문역&language=ko",127.019391,37.585331,"서울특별시 보문동 보문역"
2641,"고려대","6","640","고려대역&language=ko",127.035859,37.590401,"서울특별시 종암동 고려대역"
2642,"월곡","6","641","월곡역&language=ko",127.04153,37.601925,"서울특별시 월곡2동 월곡역"
2643,"상월곡","6","642","상월곡역&language=ko",127.048862,37.6066,"서울특별시 월곡2동 상월곡역"
2645,"석계","6","644","석계역&language=ko",127.065594,37.615206,"서울특별시 월계동 석계역"
